label,text
inform,im looking for a moderately priced restaurant that serves
inform,any part of town
inform,bistro food
inform,moderately priced restaurant in the south part of town
inform,any
inform,cheap
inform,any
inform,mediterranean
inform,im looking for a restaurant that serves seafood
inform,any
inform,seafood
inform,east
inform,expensive
inform,any type
inform,expensive restaurant
inform,north
inform,fusion food
inform,asian oriental
inform,restaurant in the north part of town serv
inform,scottish
inform,scottish
inform,i need a restaurant in the north
inform,part of town that serves chinese food
inform,cheap price range
inform,i need one in the cheap price range
inform,im looking for am expensive restaurant in the south part
inform,uh it doesnt matter
inform,hindi food is okay
inform,doesnt matter
inform,you said expensive
inform,its expensive
inform,looking for a moderately priced restaurant in the east part of town
inform,it doesnt matter
inform,im looking for a cheap restaurant in the east part of town
inform,expensive
inform,east
inform,any
inform,food
inform,a cheap mexican restaurant
inform,asian oriental
inform,cheap restaurant
inform,in the east part of town
inform,i need a restaurant in the west part of town that serves europ
inform,european
inform,i need a restaurant serving crossover food in the west part of town
inform,what about vietnamese
inform,vietnamese food
inform,im looking for a restaurant in the center serving greek food
inform,im looking for a cheap restaurant
inform,south
inform,i dont care
inform,english food center part of town
inform,british food
inform,dont care
inform,thai food
inform,any
inform,thai
inform,uh expensive restaurant in the south
inform,i dont care
inform,dont care
inform,expensive
inform,im looking for corsica food
inform,im looking for gastropub food
inform,i am looking for gastropub food
inform,i am looking for gastropub food
inform,gastropub food
inform,dont care
inform,dont care
inform,european restaurant
inform,any part
inform,any
inform,christmas food
inform,indian food
inform,cheap
inform,cheap
inform,cheap price range
inform,moderate price in south
inform,south
inform,the south
inform,south
inform,any
inform,south
inform,west
inform,west
inform,dont care
inform,east
inform,south
inform,in the south
inform,expensive restaurant
inform,any
inform,european food
inform,im looking for a moderately priced restaurant that serves turkish food
inform,mexican food
inform,i want to find a restaurant in the south part of town
inform,polynesian food
inform,im looking for venison food cross talk
inform,how about gastro pub type of food
inform,im looking for a japanese restaurant in the east part
inform,im looking for an indian restaurant in the
inform,i dont care
inform,iam looking for a restaurant in the center
inform,serve kosher food
inform,im looking for a restaurant serving
inform,any price range
inform,venetian food
inform,asian oriental food
inform,asian oriental
inform,any area
inform,food
inform,i want to find moderately priced restaurant it should be
inform,east part of town
inform,i dont care
inform,the west part of town id like a cheap restaurant
inform,any kind of food
inform,tv_noise im looking for an expensive restaurant and it should serve tuscan food
inform,tv_noise any
inform,tv_noise any
inform,i dont care
inform,can i get tuscan foo
inform,i dont care tv_noise
inform,tv_noise im looking for tuscan food
inform,tuscan food
inform,i dont care
inform,dont care
inform,tuscan food
inform,noise how bout thai
inform,that food tv_noise
inform,i want a restaurant in the unintelligible that serves belgium food
inform,korean
inform,im looking for a cheap restaurant in the west part of
inform,doesnt matter
inform,restaurant
inform,center
inform,spanish food
inform,cheap
inform,im moderate priced restaurant in the north part of town
inform,any
inform,portuguese food
inform,portuguese food
inform,i want an expensive restaurant in the east part of town
inform,it doesnt matter
inform,im looking for a restaurant in the north
inform,any kind of food
inform,breath id like to find a moderately priced restaurant in the west part of
inform,i dont care
inform,im looking for a moderately priced restaurant in the south
inform,i dont care
inform,im looking for an moderately restaurant and it should be in the south part of town
inform,any
inform,danish food in the south part of town
inform,im looking for a restaurant that serves european food
inform,i dont care
inform,i dont care
inform,cheap restaurant north part of town
inform,cheap
inform,um want to find a moderately priced restaurant in the
inform,any type is fine
inform,im looking for a restaurant that serves world food
inform,i dont care about the price range what about thai food
inform,thai food
inform,i dont care
inform,the south part
inform,im looking for an expensive restaurant in the south part of town
inform,i dont care
inform,im looking for vegetarian food on the east part of town
inform,im looking for indian food
inform,it doesnt matter
inform,im looking for a restaurant in the south part of town
inform,moderately priced
inform,doesnt matter
inform,im looking for a restaurant in the center
inform,creative food
inform,what about international type food
inform,international food
inform,looking for a restaurant in west part of town serving cantonese
inform,italian food
inform,moderate
inform,i want a polynesian restaurant in the north part of town
inform,restaurant serving english food
inform,uh what about modern european
inform,what about modern european food
inform,north
inform,christmas food
inform,im looking for a restaurant
inform,in the north part of town
inform,asian oriental
inform,im looking for an expensive restaurant that serves european
inform,any part of town
inform,uh the north
inform,mediterranean food
inform,im looking for a cheap restaurant in the south part of town
inform,any kind
inform,im looking for an expensive restaurant in the south part of town
inform,it doesnt matter
inform,looking for something moderately priced on the north side of town
inform,i dont care
inform,cantonese food
inform,im looking for a restaurant in the south part of town that
inform,mexican food
inform,i want chinese food
inform,cheap
inform,cheap restaurant
inform,i dont care
inform,and asian
inform,pan asian
inform,food
inform,any type
inform,any part
inform,french
inform,so i dont care whats the address
inform,south part of town
inform,any expensive
inform,id like a restaurant in the north part of town that serves tur
inform,turkish
inform,im looking for a moderately priced restaurant in the south part of town
inform,i dont care
inform,south
inform,south
inform,south
inform,basque food
inform,indian food
inform,restaurant in the north part of town that serves
inform,british food
inform,north
inform,dont care
inform,south
inform,south
inform,traditional
inform,italian
inform,italian
inform,dont care
inform,dont care
inform,im looking for a moderately priced rest
inform,any part of town
inform,brazilian
inform,was that in the east part of town west part of town
inform,im looking for international food
inform,it doesnt matter
inform,i dont care about the price range
inform,moderately priced in the west part of town
inform,any
inform,looking for a cheap restaurant serving portuguese food
inform,i dont care
inform,north part of town serving canapes food
inform,indian food
inform,i dont care
inform,im looking for an expensive restaurant that serves basque food
inform,korean food
inform,i want a restaurant in the north part of town that serves kosher
inform,restaurant in the west part of town serving moroccan food
inform,moroccan
inform,moroccan food
inform,im looking for a restaurant that serves romanian food
inform,place that serves portuguese food
inform,im looking for a restaurant in the south
inform,uh the south
inform,greek food
inform,is doesnt matter
inform,can i have a cheap restaurant in the south part of town
inform,any kind of food
inform,yea im looking for a restaurant that serves basque food
inform,the west
inform,can i get a restaurant in the east part of town that serves italian food
inform,moderate restaurant seafood
inform,chinese food
inform,east
inform,the east
inform,moderately priced
inform,uh im looking for a cheap restaurant in the south part of town
inform,any type of food
inform,im looking for restaurants in the east part of town
inform,east
inform,west
inform,chinese
inform,i want to find an expensive restaurant that serves hungarian food
inform,i dont care
inform,hungarian
inform,im looking for
inform,im looking for
inform,im looking for an expensive restaurant that serves hungarian
inform,i want to find an expensive restaurant that
inform,british food
inform,im looking for a restaurant in the center
inform,mediterranean food
inform,moderate restaurant in the south part of town
inform,any
inform,i need a moderately priced restaurant
inform,can i get a moderate restaurant in the south part of town
inform,i dont care
inform,i dont care
inform,vegetarian
inform,i dont care
inform,cheap
inform,indian
inform,expensive restaurant
inform,anywhere
inform,corsica
inform,asian oriental
inform,asian oriental
inform,im looking for a cheap restaurant serving kosher food
inform,i want to find a moderately priced restaurant and it should serve
inform,any
inform,turkish food
inform,id like a austrian restaurant in the south part of town
inform,moderately priced
inform,south
inform,any kind
inform,can i find a restaurant in the south that is moderately priced
inform,any food
inform,im looking for a cheap restaurant in the west part of town
inform,mediterranean
inform,american
inform,italian
inform,indonesian food
inform,itailian
inform,italian
inform,north
inform,i dont care
inform,dont care
inform,italian food
inform,dont care
inform,i dont care
inform,i do not care
inform,dont care
inform,moderately priced restaurant halal food
inform,doesnt matter
inform,halal
inform,im looking for a restaurant in the north part of town that serves
inform,greek
inform,looking for a moderately priced restaurant in the east part of town
inform,i dont care
inform,im looking for a cheap restaurant in the north part of town
inform,any
inform,im looking for a moderately priced restaurant
inform,the south part of town
inform,um im trying to find a restaurant in the unintelligible of town
inform,greek food
inform,uh indian
inform,doesnt matter
inform,african food
inform,any area
inform,african food
inform,im looking for a moderately priced restaurant in the
inform,north
inform,i dont care
inform,im looking for a restaurant that serves corsica food
inform,what about vietnamese
inform,vietnamese food
inform,i want a cheap restaurant in the east part of town
inform,moderate price
inform,east
inform,i dont care
inform,um i want a restaurant in the north side of town and i want to eat christmas food
inform,north
inform,i dont care
inform,im looking for a restaurant in the south part of town that serves
inform,austrian
inform,austrian
inform,indian food
inform,cheap restaurant east of town
inform,id like a restaurant in
inform,in the center
inform,cross over food
inform,im looking for unintelligible food
inform,in the east part of town
inform,im looking for a cheap restaurant
inform,it doesnt matter
inform,australian food
inform,what european food
inform,moderately priced restaurants
inform,dont care
inform,cheap restaurant north part of town
inform,any
inform,moderately priced restaurant japanese food
inform,chinese food
inform,breath i dont care
inform,moderately
inform,west
inform,west
inform,west part of town
inform,doesnt matter
inform,im looking for a moderately priced restaurant in the south part of town
inform,i dont care
inform,im looking for a moderately priced restaurant
inform,in the south part of the town
inform,i dont care
inform,expensive
inform,south
inform,doesnt matter
inform,im looking for a restaurant in the west part of town that serves
inform,international
inform,im looking for a restaurant in the west part of town and it sh
inform,thai food
inform,im looking for an expensive restaurant in the east
inform,it doesnt matter
inform,want to find a restaurant in the west part of town that serves german food
inform,german food
inform,id like a restaurant in the south part of town that serves cuban
inform,cuban
inform,id like a cheap restaurant that serves steakhouse
inform,it doesnt matter
inform,steakhouse
inform,i would like steakhouse food
inform,i would like vietnamese food
inform,im looking for a cheap
inform,um in north
inform,north part of town
inform,i want to find a moderately
inform,i dont care
inform,moderate restaurant catalan food
inform,spanish food
inform,im looking for a restaurant in the west part of town that serves italian food
inform,west
inform,i dont care
inform,im looking for gastropub food
inform,any area
inform,gastropub
inform,any
inform,im looking for a cheap spanish restaurant
inform,okay looking for a cheap restaurant serving caribbean food
inform,im looking for mediterranean food
inform,i dont care
inform,i dont care
inform,can i have an expensive restaurant
inform,the south
inform,it doesnt matter
inform,east part of town
inform,dont care
inform,expensive
inform,south part of town
inform,any
inform,moderate
inform,im looking for a moderately priced restaurant in the north part of town
inform,i dont care
inform,im looking for scandinavian food
inform,any part of town
inform,cheap
inform,scandanavian
inform,can i have the venusian food
inform,italian food in the south part of town
inform,italian food in the south part of town
inform,dont care
inform,im looking for a restaurant in the west part of town that serves caribbean
inform,cheap restaurant
inform,east
inform,expensive expensive
inform,south
inform,any
inform,cheap restaurant in the west part of town
inform,any type of food
inform,i would like to find a restaurant
inform,west
inform,indian
inform,cheap restaurant in he north part of town
inform,any
inform,doesnt matter
inform,does not matter
inform,i dont care
inform,brazilian
inform,gastro pub
inform,looking for a moderately priced restaurant
inform,serves british food
inform,would like british food
inform,north
inform,the south
inform,british
inform,im looking for an expensive restaurant that serves english food
inform,what about mediterranean food
inform,what about mediterranean food
inform,im looking for a spanish restaurant
inform,im looking for a spanish food restaurant
inform,any
inform,what about other areas
inform,i would like a cheap restaurant and it should
inform,i would like a cheap restaurant it should serve ger
inform,german food
inform,gastropub
inform,any
inform,gastropub
inform,i dont care
inform,moderately priced
inform,west
inform,any type
inform,i need a restaurant in the east part of town
inform,traditional food
