label,text
inform,cheap
inform,japanese
inform,polynesian
inform,chinese restaurant in the south part of town
inform,british food
inform,doesnt matter
inform,cheap
inform,im looking for an expensive restaurant that serves mediteranian
inform,west
inform,im looking for vietnamese food
inform,can i find a restaurant in the south that is moderately priced
inform,european food
inform,chinses
inform,i would like expensive food
inform,im looking for a restaurant in the south part of town
inform,portuguese food
inform,north
inform,i dont care
inform,i need a cheap restaurant in the south part of town
inform,food
inform,any area
inform,i need asian food
inform,serving european food
inform,north
inform,romanian food
inform,are their any other restaurants that serve turkish food
inform,food
inform,looking for a restaurant in the center that serves vegetarian food
inform,moderately priced restaurant in the south part of town
inform,im looking for thai food
inform,gastropub food
inform,cheap restaurant in th east part of town
inform,expensive
inform,sea food
inform,im looking for a cheap restaurant serving kosher food
inform,polynesian food
inform,spanish food
inform,thai
inform,noise um in the east part of town
inform,russian food
inform,thai food
inform,id like a restaurant in
inform,north
inform,im looking for a cheap restaurant in the north part of town
inform,im looking for a restaurant in the north part of town
inform,moderate
inform,gastro pub food
inform,any
inform,danish food
inform,i am looking for a moderately priced restaurant that serves turkish food
inform,a moderately priced restaurant that serves
inform,okay expensive
inform,im looking for a moderately priced labonese restaruant
inform,im looking for a moderately priced restaurant in the east part of town
inform,in the south part of the town
inform,restaraunt serving fusion food
inform,moderately
inform,im looking at a cheap restaurant and it should be
inform,i want to find a cheap restaurant and it should serve portuguese food
inform,id like a restaurant in the north part of town that serves cross over food
inform,doesnt matter
inform,any price range
inform,can i have a restaurant in the south part of town
inform,expensive
inform,the east part
inform,i dont care
inform,hungarian
inform,any
inform,east
inform,expensive
inform,cheap
inform,american
inform,i want to find an expensive restaurant on the east part of town
inform,brazilian
inform,any range
inform,im looking for a restaurant that serves british food
inform,west
inform,european food
inform,im looking for an expensive restaurant in the east town
inform,basque food in the east part of town
inform,any area
inform,chinese
inform,moderately priced
inform,i dont care
inform,i dont care
inform,gastropub
inform,indian food
inform,i dont care
inform,west
inform,uh expensive european food
inform,do you have any asian oriental food
inform,the north part of tow
inform,thai
inform,i dont care
inform,italian food
inform,north american
inform,thai food
inform,british food
inform,i dont care
inform,south
inform,cuban food
inform,any
inform,in the south part of town
inform,north
inform,south part of town
inform,doesnt matter
inform,im looking for a restaurant in the west part of town that should serve english food
inform,any type of food
inform,i need a restaurant
inform,i dont care
inform,afghan
inform,south
inform,im looking for a restaurant in any area that
inform,any expensive
inform,east part of town
inform,i dont care
inform,in the center of town
inform,cuban food
inform,spanish food
inform,asian
inform,expensive
inform,im looking for a restaurant that serves seafood
inform,expensive restaurant south part of town
inform,chinese
inform,unintelligible food
inform,italian food
inform,moderate
inform,i dont care
inform,serving barbecue food
inform,i dont care
inform,any price range
inform,dont care
inform,korean
inform,cheap restaurant
inform,basque food
inform,italian food
inform,im looking for a restaurant in the south part of town that
inform,can i have a moderately priced restaurant in the south part of town
inform,italian food
inform,moderate priced
inform,doesnt matter
inform,indian food
inform,i would like to find an expensive restaurant that serves corsica food
inform,french
inform,i dont care
inform,i dont care
inform,chinese
inform,i need a restaurant in the west part of town
inform,looking for a restaurant in the center that sales creative food
inform,north
inform,im looking for a moderately priced restaurant
inform,um anything else
inform,im looking for a cheap restaurant in the west part of town
inform,i would like australian asian food
inform,im looking for a restaurant in any area
inform,asian oriental
inform,italian
inform,vietnamese
inform,north
inform,spanish food
inform,moderate
inform,it should be in the north part of town
inform,i need to find a restaurant in the west part of town that serves chinese food
inform,serves halal food
inform,im looking for a restaurant that serves expensive food or expensive
inform,i want a vietnamese restaurant
inform,sea food restaurant
inform,food
inform,restaurant in the south part of town
inform,australian
inform,im looking for a restaurant that serves irish food
inform,that serves corsica
inform,center
inform,i dont care
inform,portuguese
inform,east part of town
inform,gastropub type food noise
inform,doesnt matter
inform,french food
inform,indian
inform,um in the south part of town and its cheap
inform,south
inform,british food
inform,the north
inform,singapore
inform,i want to find a restaurant in the center that should serve belgian food
inform,i dont care
inform,i dont care
inform,doesnt matter
inform,venetian food
inform,it doesnt matter
inform,i want to find a restaurant in any area
inform,gastropub food
inform,i dont care
inform,any type
inform,cambridge vietnamese food
inform,centre
inform,im looking for north american food
inform,cheap restaurant
inform,chinese food
inform,east
inform,american
inform,um do not care
inform,north part of town
inform,indonesian food east part of town
inform,any kind of food
inform,north
inform,im looking for a restaurant in the south part of town that serves pan asian food
inform,im looking a cheap restaurant in the south part of town
inform,expensive
inform,i want gastropub food
inform,for a restaurant in any area with international food
inform,british food
inform,for spanish food
inform,expensive russian food
inform,gastropub food
inform,european food
inform,im looking for
inform,i want an expensive afghan restaurant
inform,do you have prezzo
inform,west
inform,any area
inform,european
inform,any time
inform,gastropub
inform,i need a restaurant in the north part of town
inform,east
inform,test food
inform,any
inform,expensive
inform,im looking for a restaurant that serves african food
inform,um dont care
inform,i dont care
inform,west part of town
inform,i am looking for a cheap restaurant and it should serve seafood
inform,dont care
inform,caribbean food
inform,i need a moderately priced restaurant
inform,center
inform,find irish food
inform,expensive restaurant thai food
inform,if there is no such venue how about european type of food
inform,european
inform,cheap
inform,im looking for a restaurant serving romanian food
inform,dont care
inform,do you have jamaican restaurant
inform,in any area
inform,the west part of town
inform,mediterranean restaurant
inform,south part of town
inform,corsica
inform,dont care
inform,any
inform,cheap
inform,east part of town
inform,doesnt matter thai food
inform,it doesnt matter
inform,indian food
inform,eirtrean
inform,thai food
inform,im looking for a cheap restaurant
inform,north part of town please
inform,expensive
inform,north
inform,vietnamese food
inform,christmas food
inform,restaurant in the south part of town that serves mexican food
inform,im looking for a turkish restaurant
inform,west part of town
inform,looking for a moderately priced restaurant
inform,moderately priced
inform,can i have spanish food in
inform,i dont care
inform,the south part of town
inform,expensive restaurant that serves lebanese food
inform,i dont care
inform,id like a restaurant that serves australian asian food
inform,spanish food
inform,any price range
inform,i need a moderately priced restaurant that serves world food
inform,it does not matter
inform,cheap restaurant
inform,looking for romanian food in the center of town
inform,restaurant in the east part of town that serves indonesian food
inform,international
inform,irish
inform,any
inform,moroccan
inform,north part of town
inform,thai
inform,west
inform,asian oriental
inform,any area
inform,i dont care
inform,a restaurant in the south part of town that serves italian food
inform,gastropub
inform,doesnt matter
inform,can i have the european food
inform,any
inform,moroccan
inform,bistro food
inform,uh a restaurant in the south part of town
inform,west
inform,european food
inform,i dont care
inform,dont care
inform,i dont care
inform,i dont care
inform,hungarian food
inform,cheap
inform,center
inform,doesnt matter
inform,find me a moderately priced restaurant in the north part of town
inform,italian food
inform,south
inform,any part
inform,south
inform,a chinese
inform,indian
inform,im looking for an expensive restaurant in the south part of tow
inform,spanish
inform,spanish food
inform,asian oriental
inform,north
inform,what is a good cheap restaurant that serves portuguese food
inform,moderate
inform,could i have the asian oriental restaurant
inform,east
inform,any
