label,text
inform,south area
inform,a moderately priced restaurant in the
inform,the south
inform,im looking for a restaurant in the center of town serving german food
inform,is there one that serves asian oriental food
inform,im looking for a restaurant in the center that serves caribbean food
inform,italian food
inform,korean
inform,brazilian food
inform,can i find an expensive restaurant that serves traditional food
inform,crossover food in the north part of town
inform,cheap restaurant serving malaysian food
inform,catalan
inform,south side
inform,cheap restaurant in th east part of town
inform,a restaurant in the center of town serving carraibean food
inform,west part of town moderately priced
inform,need a restaurant serving brazilian food
inform,for a cheap restaurant in the east part of town
inform,i dont care
inform,uh expensive european food
inform,what about a chinese restaurant in the north of town
inform,east part of town serving swedish food
inform,looking for a restaurant in the north part of the town that serves british food
inform,im looking for something in the south part of town that serves creative
inform,i am looking for a restaurant serving afghan food
inform,i need a restaurant in the north part of town
inform,itailian
inform,i dont care in the north part of town
inform,chinese food in the east part of town
inform,in the east of town
inform,im sorry im looking for a moderate priced restaurant
inform,what asian oriental type of food
inform,chinese food east part of town
inform,cheap in the east part of town
inform,find gastropub
inform,i need a cheap restaurant in the west part of town
inform,im looking for a restaurant in any area that
inform,i want a cheap restaurant that serves european food
inform,looking for an expensive restaurant that
inform,im looking for halal food
inform,vegetarian food please
inform,need one in the west part of town
inform,north part of town serving canapes food
inform,east part of town
inform,restaurant in the center serving turkish food
inform,im looking for an expensive restaurant that serves vietnamese food
inform,id like to find a restaurant that serves portuguese food
inform,im looking for turkish food in the center
inform,unintelligible restaurant
inform,thai thai
inform,i want to find a moderately priced restaurant
inform,i would like a cheap
inform,serving modern european type of food
inform,im looking for a restaurant in the center that serves turkish food
inform,in the north part o
inform,is there a restaurant serving indian type of food
inform,im looking for a restaurant that serves english food
inform,i want a restaurant that serves portuguese food
inform,im looking for an expensive restaurant that serves asian oriental food
inform,a moderate restaurant in the west part of town
inform,restaurant in any area international food
inform,cheap gastropub
inform,umh i dont care noise
inform,i would like to find a restaurant
inform,im looking for a restaurant in the east part of town that serves chinese
inform,gastropub moderate
inform,noise cheap restaurant
inform,canape
inform,west
inform,i want a find a restaurant serving mediterranean food
inform,an expensive italian restaurant
inform,looking for a restaurant noise in the east part of town
inform,ah it doesnt matter
inform,i am looking for a singaporean restaurant in the north part of town
inform,id like it to be in the south part of town
inform,i want a jamaican food restaurant in the center part of town
inform,uh just pick a restaurant
inform,um want to find a moderately priced restaurant in the
inform,anything
inform,i am looking for italian
inform,looking for a restaurant in the north part of town and it should serve korean food
inform,european food
inform,i am looking for a moderately priced restaurant that
inform,moderately priced restaurant in the west
inform,i would like thai food
inform,looking for afghan good
inform,food
inform,gastropub type foo
inform,moderately priced restaurant in the south part of town
inform,in the center part of town
inform,fucking west
inform,i want a restaurant in any area that serves vietnamese food
inform,expensive restaurant asian food
inform,serving asian oriental
inform,restaurant in the south part of town caribbean food
