label,text
inform,im looking moderately priced restaurant serves
inform,part town
inform,bistro food
inform,moderately priced restaurant south part town
inform,
inform,cheap
inform,
inform,mediterranean
inform,im looking restaurant serves seafood
inform,
inform,seafood
inform,east
inform,expensive
inform,type
inform,expensive restaurant
inform,north
inform,fusion food
inform,asian oriental
inform,restaurant north part town serv
inform,scottish
inform,scottish
inform,need restaurant north
inform,part town serves chinese food
inform,cheap price range
inform,need one cheap price range
inform,im looking expensive restaurant south part
inform,uh doesnt matter
inform,hindi food okay
inform,doesnt matter
inform,said expensive
inform,expensive
inform,looking moderately priced restaurant east part town
inform,doesnt matter
inform,im looking cheap restaurant east part town
inform,expensive
inform,east
inform,
inform,food
inform,cheap mexican restaurant
inform,asian oriental
inform,cheap restaurant
inform,east part town
inform,need restaurant west part town serves europ
inform,european
inform,need restaurant serving crossover food west part town
inform,vietnamese
inform,vietnamese food
inform,im looking restaurant center serving greek food
inform,im looking cheap restaurant
inform,south
inform,dont care
inform,english food center part town
inform,british food
inform,dont care
inform,thai food
inform,
inform,thai
inform,uh expensive restaurant south
inform,dont care
inform,dont care
inform,expensive
inform,im looking corsica food
inform,im looking gastropub food
inform,looking gastropub food
inform,looking gastropub food
inform,gastropub food
inform,dont care
inform,dont care
inform,european restaurant
inform,part
inform,
inform,christmas food
inform,indian food
inform,cheap
inform,cheap
inform,cheap price range
inform,moderate price south
inform,south
inform,south
inform,south
inform,
inform,south
inform,west
inform,west
inform,dont care
inform,east
inform,south
inform,south
inform,expensive restaurant
inform,
inform,european food
inform,im looking moderately priced restaurant serves turkish food
inform,mexican food
inform,want find restaurant south part town
inform,polynesian food
inform,im looking venison food cross talk
inform,gastro pub type food
inform,im looking japanese restaurant east part
inform,im looking indian restaurant
inform,dont care
inform,iam looking restaurant center
inform,serve kosher food
inform,im looking restaurant serving
inform,price range
inform,venetian food
inform,asian oriental food
inform,asian oriental
inform,area
inform,food
inform,want find moderately priced restaurant
inform,east part town
inform,dont care
inform,west part town id like cheap restaurant
inform,kind food
inform,tv_noise im looking expensive restaurant serve tuscan food
inform,tv_noise
inform,tv_noise
inform,dont care
inform,get tuscan foo
inform,dont care tv_noise
inform,tv_noise im looking tuscan food
inform,tuscan food
inform,dont care
inform,dont care
inform,tuscan food
inform,noise bout thai
inform,food tv_noise
inform,want restaurant unintelligible serves belgium food
inform,korean
inform,im looking cheap restaurant west part
inform,doesnt matter
inform,restaurant
inform,center
inform,spanish food
inform,cheap
inform,im moderate priced restaurant north part town
inform,
inform,portuguese food
inform,portuguese food
inform,want expensive restaurant east part town
inform,doesnt matter
inform,im looking restaurant north
inform,kind food
inform,breath id like find moderately priced restaurant west part
inform,dont care
inform,im looking moderately priced restaurant south
inform,dont care
inform,im looking moderately restaurant south part town
inform,
inform,danish food south part town
inform,im looking restaurant serves european food
inform,dont care
inform,dont care
inform,cheap restaurant north part town
inform,cheap
inform,um want find moderately priced restaurant
inform,type fine
inform,im looking restaurant serves world food
inform,dont care price range thai food
inform,thai food
inform,dont care
inform,south part
inform,im looking expensive restaurant south part town
inform,dont care
inform,im looking vegetarian food east part town
inform,im looking indian food
inform,doesnt matter
inform,im looking restaurant south part town
inform,moderately priced
inform,doesnt matter
inform,im looking restaurant center
inform,creative food
inform,international type food
inform,international food
inform,looking restaurant west part town serving cantonese
inform,italian food
inform,moderate
inform,want polynesian restaurant north part town
inform,restaurant serving english food
inform,uh modern european
inform,modern european food
inform,north
inform,christmas food
inform,im looking restaurant
inform,north part town
inform,asian oriental
inform,im looking expensive restaurant serves european
inform,part town
inform,uh north
inform,mediterranean food
inform,im looking cheap restaurant south part town
inform,kind
inform,im looking expensive restaurant south part town
inform,doesnt matter
inform,looking something moderately priced north side town
inform,dont care
inform,cantonese food
inform,im looking restaurant south part town
inform,mexican food
inform,want chinese food
inform,cheap
inform,cheap restaurant
inform,dont care
inform,asian
inform,pan asian
inform,food
inform,type
inform,part
inform,french
inform,dont care whats address
inform,south part town
inform,expensive
inform,id like restaurant north part town serves tur
inform,turkish
inform,im looking moderately priced restaurant south part town
inform,dont care
inform,south
inform,south
inform,south
inform,basque food
inform,indian food
inform,restaurant north part town serves
inform,british food
inform,north
inform,dont care
inform,south
inform,south
inform,traditional
inform,italian
inform,italian
inform,dont care
inform,dont care
inform,im looking moderately priced rest
inform,part town
inform,brazilian
inform,east part town west part town
inform,im looking international food
inform,doesnt matter
inform,dont care price range
inform,moderately priced west part town
inform,
inform,looking cheap restaurant serving portuguese food
inform,dont care
inform,north part town serving canapes food
inform,indian food
inform,dont care
inform,im looking expensive restaurant serves basque food
inform,korean food
inform,want restaurant north part town serves kosher
inform,restaurant west part town serving moroccan food
inform,moroccan
inform,moroccan food
inform,im looking restaurant serves romanian food
inform,place serves portuguese food
inform,im looking restaurant south
inform,uh south
inform,greek food
inform,doesnt matter
inform,cheap restaurant south part town
inform,kind food
inform,yea im looking restaurant serves basque food
inform,west
inform,get restaurant east part town serves italian food
inform,moderate restaurant seafood
inform,chinese food
inform,east
inform,east
inform,moderately priced
inform,uh im looking cheap restaurant south part town
inform,type food
inform,im looking restaurants east part town
inform,east
inform,west
inform,chinese
inform,want find expensive restaurant serves hungarian food
inform,dont care
inform,hungarian
inform,im looking
inform,im looking
inform,im looking expensive restaurant serves hungarian
inform,want find expensive restaurant
inform,british food
inform,im looking restaurant center
inform,mediterranean food
inform,moderate restaurant south part town
inform,
inform,need moderately priced restaurant
inform,get moderate restaurant south part town
inform,dont care
inform,dont care
inform,vegetarian
inform,dont care
inform,cheap
inform,indian
inform,expensive restaurant
inform,anywhere
inform,corsica
inform,asian oriental
inform,asian oriental
inform,im looking cheap restaurant serving kosher food
inform,want find moderately priced restaurant serve
inform,
inform,turkish food
inform,id like austrian restaurant south part town
inform,moderately priced
inform,south
inform,kind
inform,find restaurant south moderately priced
inform,food
inform,im looking cheap restaurant west part town
inform,mediterranean
inform,american
inform,italian
inform,indonesian food
inform,itailian
inform,italian
inform,north
inform,dont care
inform,dont care
inform,italian food
inform,dont care
inform,dont care
inform,care
inform,dont care
inform,moderately priced restaurant halal food
inform,doesnt matter
inform,halal
inform,im looking restaurant north part town serves
inform,greek
inform,looking moderately priced restaurant east part town
inform,dont care
inform,im looking cheap restaurant north part town
inform,
inform,im looking moderately priced restaurant
inform,south part town
inform,um im trying find restaurant unintelligible town
inform,greek food
inform,uh indian
inform,doesnt matter
inform,african food
inform,area
inform,african food
inform,im looking moderately priced restaurant
inform,north
inform,dont care
inform,im looking restaurant serves corsica food
inform,vietnamese
inform,vietnamese food
inform,want cheap restaurant east part town
inform,moderate price
inform,east
inform,dont care
inform,um want restaurant north side town want eat christmas food
inform,north
inform,dont care
inform,im looking restaurant south part town serves
inform,austrian
inform,austrian
inform,indian food
inform,cheap restaurant east town
inform,id like restaurant
inform,center
inform,cross food
inform,im looking unintelligible food
inform,east part town
inform,im looking cheap restaurant
inform,doesnt matter
inform,australian food
inform,european food
inform,moderately priced restaurants
inform,dont care
inform,cheap restaurant north part town
inform,
inform,moderately priced restaurant japanese food
inform,chinese food
inform,breath dont care
inform,moderately
inform,west
inform,west
inform,west part town
inform,doesnt matter
inform,im looking moderately priced restaurant south part town
inform,dont care
inform,im looking moderately priced restaurant
inform,south part town
inform,dont care
inform,expensive
inform,south
inform,doesnt matter
inform,im looking restaurant west part town serves
inform,international
inform,im looking restaurant west part town sh
inform,thai food
inform,im looking expensive restaurant east
inform,doesnt matter
inform,want find restaurant west part town serves german food
inform,german food
inform,id like restaurant south part town serves cuban
inform,cuban
inform,id like cheap restaurant serves steakhouse
inform,doesnt matter
inform,steakhouse
inform,would like steakhouse food
inform,would like vietnamese food
inform,im looking cheap
inform,um north
inform,north part town
inform,want find moderately
inform,dont care
inform,moderate restaurant catalan food
inform,spanish food
inform,im looking restaurant west part town serves italian food
inform,west
inform,dont care
inform,im looking gastropub food
inform,area
inform,gastropub
inform,
inform,im looking cheap spanish restaurant
inform,okay looking cheap restaurant serving caribbean food
inform,im looking mediterranean food
inform,dont care
inform,dont care
inform,expensive restaurant
inform,south
inform,doesnt matter
inform,east part town
inform,dont care
inform,expensive
inform,south part town
inform,
inform,moderate
inform,im looking moderately priced restaurant north part town
inform,dont care
inform,im looking scandinavian food
inform,part town
inform,cheap
inform,scandanavian
inform,venusian food
inform,italian food south part town
inform,italian food south part town
inform,dont care
inform,im looking restaurant west part town serves caribbean
inform,cheap restaurant
inform,east
inform,expensive expensive
inform,south
inform,
inform,cheap restaurant west part town
inform,type food
inform,would like find restaurant
inform,west
inform,indian
inform,cheap restaurant north part town
inform,
inform,doesnt matter
inform,matter
inform,dont care
inform,brazilian
inform,gastro pub
inform,looking moderately priced restaurant
inform,serves british food
inform,would like british food
inform,north
inform,south
inform,british
inform,im looking expensive restaurant serves english food
inform,mediterranean food
inform,mediterranean food
inform,im looking spanish restaurant
inform,im looking spanish food restaurant
inform,
inform,areas
inform,would like cheap restaurant
inform,would like cheap restaurant serve ger
inform,german food
inform,gastropub
inform,
inform,gastropub
inform,dont care
inform,moderately priced
inform,west
inform,type
inform,need restaurant east part town
inform,traditional food
inform,restaurant indian restaurant
inform,polynesian food
inform,mediterranean food
inform,mediterranean restaurant
inform,restaurant
inform,area
inform,dont care
inform,dont care
inform,want find moderately priced restaurant
inform,south
inform,south part town south
inform,
inform,breath im looking moderately priced restaurant east p
inform,
inform,im looking cheap restaurant south part town
inform,south
inform,south
inform,south part
inform,south
inform,south
inform,dont care
inform,food
inform,area
inform,seafood
inform,serving vietnamese
inform,im looking world food
inform,vietnamese food
inform,im looking restaurant area serves austrian food
inform,austrian food
inform,ah find unintelligible restaurant serving scotch food
inform,ah scottish food
inform,okay uh bout british food
inform,need moderately priced restaurant part town
inform,dont care
inform,mexican food
inform,cheap
inform,vietnamese
inform,want find moderately priced restaurant serves fusion food
inform,chinese chinese
inform,ah centre
inform,expensive restaurant east part town
inform,type food
inform,expensive
inform,expensive
inform,expensive restaurant east part town
inform,expensive
inform,want expensive restaurant serving european food
inform,doesnt matter
inform,im looking expensive restaurant east part town
inform,food
inform,cheap
inform,restaurant
inform,dont care
inform,looking expensive restaurant serves
inform,
inform,cantonese food
inform,moderately priced restaurant
inform,north
inform,dont care
inform,spanish restaurant
inform,dont care
inform,dont care
